NumberOfProcess,Time
1,49
2,79
3,97
4,113
5,162
6,204
7,249
8,291
9,318
10,333
11,387
12,427
13,448
14,493
15,530
16,557
17,593
18,621
19,660
20,680
21,703
22,740
23,785
24,807
25,849
26,888
27,923
28,984
29,1024
30,1055
31,1093
32,1124
33,1171
34,1190
35,1229
36,1267
37,1295
38,1326
39,1366
40,1413
41,1456
42,1478
43,1519
44,1552
45,1593
46,1627
47,1667
48,1717
49,1759
50,1787
51,1826
52,1863
53,1897
54,1931
55,1958
56,1992
57,2028
58,2065
59,2095
60,2136
61,2180
62,2229
63,2264
64,2325
65,2356
66,2395
67,2412
68,2428
69,2449
70,2480
71,2539
72,2565
73,2588
74,2631
75,2672
76,2711
77,2748
78,2778
79,2813
80,2857
81,2897
82,2942
83,2979
84,3008
85,3051
86,3077
87,3110
88,3138
89,3168
90,3213
91,3263
92,3306
93,3356
94,3398
95,3404
96,3435
97,3483
98,3521
99,3545
100,3576
101,3606
102,3643
103,3686
104,3737
105,3764
106,3811
107,3831
108,3866
109,3899
110,3937
111,3964
112,4003
113,4023
114,4056
115,4107
116,4133
117,4169
118,4206
119,4230
120,4270
121,4300
122,4330
123,4384
124,4417
125,4430
126,4474
127,4512
128,4540
129,4576
130,4587
131,4636
132,4680
133,4712
134,4751
135,4779
136,4804
137,4854
138,4893
139,4935
140,4969
141,5023
142,5058
143,5100
144,5138
145,5185
146,5208
147,5238
148,5261
149,5289
150,5326
151,5349
152,5371
153,5400
154,5423
155,5444
156,5494
157,5527
158,5554
159,5586
160,5617
161,5653
162,5685
163,5726
164,5744
165,5782
166,5818
167,5858
168,5901
169,5925
170,5942
171,5972
172,5993
173,6015
174,6034
175,6083
176,6107
177,6145
178,6192
179,6241
180,6285
181,6331
182,6357
183,6387
184,6414
185,6452
186,6497
187,6536
188,6569
189,6619
190,6654
191,6692
192,6716
193,6768
194,6802
195,6849
196,6864
197,6900
198,6949
199,6982
200,7016
201,7069
202,7103
203,7138
204,7182
205,7191
206,7220
207,7243
208,7280
209,7311
210,7353
211,7394
212,7419
213,7450
214,7473
215,7514
216,7553
217,7613
218,7642
219,7677
220,7712
221,7767
222,7788
223,7829
224,7859
225,7877
226,7931
227,7990
228,8008
229,8039
230,8084
231,8124
232,8158
233,8212
234,8244
235,8278
236,8297
237,8329
238,8373
239,8405
240,8457
241,8476
242,8514
243,8547
244,8589
245,8612
246,8650
247,8674
248,8720
249,8761
250,8808
251,8852
252,8871
253,8903
254,8949
255,8985
256,9017
257,9044
258,9055
259,9092
260,9141
261,9168
262,9212
263,9245
264,9282
265,9319
266,9350
267,9388
268,9425
269,9440
270,9475
271,9506
272,9544
273,9600
274,9628
275,9658
276,9691
277,9725
278,9755
279,9794
280,9836
281,9874
282,9895
283,9916
284,9955
